{'learning_rate': 0.025, 'hidden_dimensions': (512, 256), 'non_linearity': 'sigmoid', 'average_accuracy': 0.8855666666666666}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 32), 'non_linearity': 'relu', 'average_accuracy': 0.9714333333333333}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 32), 'non_linearity': 'sigmoid', 'average_accuracy': 0.9050666666666668}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 64), 'non_linearity': 'relu', 'average_accuracy': 0.9726666666666667}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 64), 'non_linearity': 'sigmoid', 'average_accuracy': 0.9056000000000001}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 128), 'non_linearity': 'relu', 'average_accuracy': 0.9720333333333334}
{'learning_rate': 0.05, 'hidden_dimensions': (1024, 128), 'non_linearity': 'sigmoid', 'average_accuracy': 0.9073000000000001}
{'learning_rate': 0.05, 'hidden_dimensions': (512, 512), 'non_linearity': 'relu', 'average_accuracy': 0.9694666666666666}
{'learning_rate': 0.05, 'hidden_dimensions': (512, 512), 'non_linearity': 'sigmoid', 'average_accuracy': 0.9058999999999999}
{'learning_rate': 0.05, 'hidden_dimensions': (512, 256), 'non_linearity': 'relu', 'average_accuracy': 0.9702333333333334}
{'learning_rate': 0.05, 'hidden_dimensions': (512, 256), 'non_linearity': 'sigmoid', 'average_accuracy': 0.9063666666666667}
